address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
270 Valencia St Apt 305,San Francisco,CA,94103,671000,657,1,1.0,18,Condo For Sale,"http://www.zillow.com/homes/for_sale/69820021_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6 Mint Plz Apt 504A,San Francisco,CA,94103,999888,864,2,2.0,13,Condo For Sale,"http://www.zillow.com/homes/for_sale/89240584_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
195 7th St Apt 102,San Francisco,CA,94103,458888,364,0,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/15147308_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
763 Tehama St,San Francisco,CA,94103,2250000,4582,0,NA,24,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095163711_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
7 Brady St # 4,San Francisco,CA,94103,1410000,NA,2,3.0,18,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095091166_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
769 Tehama St,San Francisco,CA,94103,2750000,5265,0,NA,24,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095163623_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1160 Mission St Unit 1113,San Francisco,CA,94103,1125000,1131,2,2.0,28,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785892_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
257 S Van Ness Ave,San Francisco,CA,94103,2790000,4734,0,NA,26,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2099873194_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
788 Minna St Unit 403,San Francisco,CA,94103,675000,555,1,1.0,18,Condo For Sale,"http://www.zillow.com/homes/for_sale/2106495014_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
765 Market St Apt 26G,San Francisco,CA,94103,3375000,1762,2,2.5,14,Condo For Sale,"http://www.zillow.com/homes/for_sale/63197316_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
765 Market St # 24CD,San Francisco,CA,94103,7995000,3343,3,3.5,14,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098889768_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1283 1287 Howard St # 9th,San Francisco,CA,94103,1295000,1519,4,2.0,12,Foreclosure,"http://www.zillow.com/homes/for_sale/2095019869_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
630 Natoma St,San Francisco,CA,94103,1995000,NA,NA,NA,25,Lot/Land For Sale,"http://www.zillow.com/homes/for_sale/2095168454_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1283-1287 HOWARD ST,SAN FRANCISCO,CA,94103,2490000,3001,7,4.0,18,House For Sale,"http://www.zillow.com/homes/for_sale/15147410_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1283 Howard St,San Francisco,CA,94103,2490000,3001,7,4.0,17,Condo For Sale,"http://www.zillow.com/homes/for_sale/2133448285_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
270 Valencia St Apt 401,San Francisco,CA,94103,453825,833,2,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/69819090_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
112 Russ St,San Francisco,CA,94103,885000,725,2,2.0,67,Condo For Sale,"http://www.zillow.com/homes/for_sale/2129785916_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
225 9th St # B,San Francisco,CA,94103,579000,606,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095521503_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
140 S Van Ness Ave Unit 801,San Francisco,CA,94103,1270000,1800,3,2.0,509,Foreclosure,"http://www.zillow.com/homes/for_sale/64969749_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
55 Norfolk St Apt 301,San Francisco,CA,94103,615000,683,1,1.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/80735829_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1930 Mission St Unit 304,San Francisco,CA,94103,405000,344,0,1.0,66,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095687120_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1160 Mission St Unit 1912,San Francisco,CA,94103,749000,NA,1,1.0,35,Condo For Sale,"http://www.zillow.com/homes/for_sale/83154025_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
170 Russ St,San Francisco,CA,94103,1595000,2230,2,3.0,47,Condo For Sale,"http://www.zillow.com/homes/for_sale/59779848_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
349 S Van Ness Ave,San Francisco,CA,94103,2000000,4750,0,NA,43,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095397334_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
338 Potrero Ave # 503,San Francisco,CA,94103,1062000,845,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2095745376_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
60 Rausch St Apt 304,San Francisco,CA,94103,1140000,1138,2,2.0,130,Condo For Sale,"http://www.zillow.com/homes/for_sale/80731849_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6 Mint Plz Apt 900,San Francisco,CA,94103,4795000,3390,3,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096314153_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
10 Mint Plz # 3,San Francisco,CA,94103,1695000,1559,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095253372_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
140 S Van Ness Ave Unit 840,San Francisco,CA,94103,949000,1115,2,2.0,145,Condo For Sale,"http://www.zillow.com/homes/for_sale/64969857_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
574 Natoma St Apt 402,San Francisco,CA,94103,595000,370,0,1.0,65,Make Me Move,"http://www.zillow.com/homes/for_sale/119684755_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
180 7th St # 201,San Francisco,CA,94103,850000,804,2,1.0,495,Make Me Move,"http://www.zillow.com/homes/for_sale/15147355_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1488 Harrison St Apt 103,San Francisco,CA,94103,1050000,1102,1,2.0,89,Make Me Move,"http://www.zillow.com/homes/for_sale/59779633_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 6th St Apt 20,San Francisco,CA,94103,1895000,2051,2,3.0,47,Condo For Sale,"http://www.zillow.com/homes/for_sale/80734645_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1791 MISSION ST,SAN FRANCISCO,CA,94103,950000,NA,NA,NA,40,For Sale by Owner,"http://www.zillow.com/homes/for_sale/125271727_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
68 Harriet St Unit 10,San Francisco,CA,94103,870000,1005,1,2.0,285,Make Me Move,"http://www.zillow.com/homes/for_sale/80731490_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
765 Market St Apt 34F,San Francisco,CA,94103,5995000,2572,3,3.0,176,Condo For Sale,"http://www.zillow.com/homes/for_sale/63149714_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,NA,2572,2,2.0,34,Foreclosure,"http://www.zillow.com/homes/for_sale/127128298_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
765 Market St Apt 26F,San Francisco,CA,94103,5695000,2576,3,4.0,117,Condo For Sale,"http://www.zillow.com/homes/for_sale/63197315_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
765 Market St Apt 36F,San Francisco,CA,94103,6450000,2610,3,4.0,154,Condo For Sale,"http://www.zillow.com/homes/for_sale/63197385_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
